PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202505,2,111850613,31304020009,1746080711343,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI-LEMON-LEMON PET 1000 ML,130,1000 ML,PBT,Sales Deviation is OK,1746080711343-singapore beverage-nepal-lemonzaaaaa nimbu pani#3.png
202504,2,133568658,31315020003,1745993998112,134,ASLE FOOD & BEVERAGE-NEPAL,"FIGHTER POWER DRINK ",FIGHTER POWER DRINK CAN250 ML,120,250 ML,CAN,,1745993998112-asle food - beverage-nepal-fighter power drink #3.png
202504,2,127303566,32201020031,1745919675644,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON/PBT/250ML/50/BOTTLERS NEPAL - NEPAL,50,250ML,PBT,,1745919675644-bottlers nepal - nepal-fanta lemon#3.png
202504,2,129057785,12201020029,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,
202504,2,128897531,12201020027,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,
202504,2,324121510013,32412020020,1745909416134,134,FRUIT AGRO PRODUCT-NEPAL,"FA ULTRA POWER ",FA ULTRA POWER CAN 330 ML,140,330ML,CAN,,1745909416134-fruit agro product-nepal-fa ultra power #3.png
202504,2,128757050,12201020010,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,
202504,2,123117800,31101020078,1744864838286,118,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON\250ML\PET\RS:80\BOTTLERS I NEPAL,50,250ML,PET,,
202504,2,324121210085,32412020012,1745812211357,134,"ECO PLANAT PVT LTD NEPAL ",ECO DRPO,"ECO DROP ",25,1000ML,PBT,,1745812211357-eco planat pvt ltd nepal -eco drpo#3.png
202504,2,130528603,21202020027,1745733588459,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,"FROOTI\1000ML\PBT\MANGO FLAVOUR ",170,1000ML,PBT,,1745733588459-south asian beverages p- ltd-nepal-frooti#3.png
202504,2,115055067,21101020247,1745745947444,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON PET 250 ML,,250ML,PET,,
202504,2,116516440,31310020006,1744864838286,118,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON\250ML\PET\RS:80\BOTTLERS I NEPAL,50,250ML,PET,,
202504,2,128812959,12201020024,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,
202504,2,128812959,12201020024,1745567375462,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 2000ML,199,2000ML,PET,,1745567375462-bottlers nepal - nepal-fanta lemon#3.png
202504,2,130512227,21202020031,1745555987639,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA LITCHI,"MANIA LITCHI\150ML\PBT\FRUIT DRINK ",20,150ML,PBT,,1745555987639-hygen packs nepal pvt ltd-nepal-mania litchi#3.png
202504,2,128702441,12201020028,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,1745507741485-bottlers nepal - nepal-fanta lemon#3.png
202504,2,129371866,12201020026,1745507741485,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON-LEMON PET 250ML,50,250ML,PET,,
202504,2,128612867,52203020004,1745474855988,134,GOODLIFE BEVERAGE-NEPAL,"GOODLIFE ","GOODLIFE/GUAVA/180ML/TPK/20% EXTRA ",27,"180ML ",TPK,,1745474855988-goodlife beverage-nepal-goodlife #3.png
202504,2,128612867,52203020004,1745476057498,134,NEPAL M.D FOOD & BEVERAGE-NEPAL,"LEMON ",LEMON/NIMBU PANI/250ML/PBT,50,"250ML ",PBT,,1745476057498-nepal m-d food - beverage-nepal-lemon #3.png
202504,2,128811177,52203020008,1745473872232,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW/LEMON/200ML/PBT,35,200ML,PBT,,1745473872232-shambhavi food - beverages-nepal-maintain dew#3.png
202504,2,128725214,52203020013,1745472667734,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/GUAVA/170ML/TPK,25,"170ML ",TPK,,1745472667734-dabur nepal ltd--nepal-real burrst#3.png
202504,2,128593883,52203020005,1745467624071,134,ODAT BEVERAGE PVT LTD-NEPAL,"FRUITFUN ",FRUITFUN/LITCHI/125ML/PBT,20,"125ML ",PBT,,1745467624071-odat beverage pvt ltd-nepal-fruitfun #3.png
202504,2,222272510243,22227020003,1745373198001,134,AQUA PLUS SINDHULIGADHI PVT.LTD,A+ONE SINDHULIGADHI,A+ONE SINDHULIGADHI/1000/ML,20,1000 ML,PET,,1745373198001-aqua plus sindhuligadhi pvt-ltd-a-one sindhuligadhi#3.png
202504,2,222272510247,22227020004,1745373198001,134,AQUA PLUS SINDHULIGADHI PVT.LTD,A+ONE SINDHULIGADHI,A+ONE SINDHULIGADHI/1000/ML,20,1000 ML,PET,New SKU,
