PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202404,2,116845649,41301020007,1714274174235,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ",BG AQUA FRESH,30,1000ML,PET,,
202404,2,133932988,32301020016,1714449839782,134,SINGAPORE BEVERAGE-NEPAL PVT.LTD,NIMONZAAAAA,NIMBUPANI,85,600ML,PET,,
202404,2,132805308,32301020013,1714449839782,134,SINGAPORE BEVERAGE-NEPAL PVT.LTD,NIMONZAAAAA,NIMBUPANI,85,600ML,PET,,1714449839782-singapore beverage-nepal pvt-ltd-nimonzaaaaa#3.png
202404,2,130456210299,13045020018,1712656162027,134,RADHA KRISHNA FOOD & BEVERAGE-NP,SARAS,SARAS PROCESSED DRINKING WATER PBT 1000 ML. RS 20.00,20,1000 ML,PBT,Any other reason,
202404,2,130456210353,13045020020,1712656162027,134,RADHA KRISHNA FOOD & BEVERAGE-NP,SARAS,SARAS PROCESSED DRINKING WATER PBT 1000 ML. RS 20.00,20,1000 ML,PBT,,
202404,2,516753710207,51675020002,1714099276339,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE/LAHORI JAL JEERA/250ML/PBT,50,"250ML ",PBT,,1714099276339-life food - beverage-nepal-fizzy life#3.png
202404,2,130456210306,13045020027,1712656162027,134,RADHA KRISHNA FOOD & BEVERAGE-NP,SARAS,SARAS PROCESSED DRINKING WATER PBT 1000 ML. RS 20.00,20,1000 ML,PBT,Any other reason,
202404,2,115625645,41301020031,1714274174235,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ",BG AQUA FRESH,30,1000ML,PET,,
202404,2,115070629,41301020003,1714274174235,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,"PROCESSED DRINKING WATER ",BG AQUA FRESH,30,1000ML,PET,,
202404,2,112266748,41301020023,1714276733901,134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,AQUA FRESH,"B G AQUA FRESH ",30,1000ML,PET,,1714276733901-bauddha grameen processed drinking water-aqua fresh#3.png
202404,2,117167384,41301020018,1714273927142,134,GOODLIFE BEVERAGE-NEPAL,"SHAKE WELL BEFORE ","GOODLIFE MANGO ",30,"200ML ",PET,,1714273927142-goodlife beverage-nepal-shake well before #3.png
