PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202308,2,116304492,11301020014,1693193351088,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,Sales Deviation is OK,
202308,2,116313561,11301020007,1693192643948,118,PATHIBHARA FOOD & PCKNG UDY-NP,MOTION DEW,"MOTION DEW PET 600ML ",80,600ML,PET,,1693192643948-pathibhara food - pckng udy-np-motion dew#3.png
202308,2,116313561,11301020007,1693193351088,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,,1693193351088-life food - beverage-nepal-reboost#3.png
202308,3,1023173737366,21104030039,1693031499700,,SURYA NEPAL PVT LTD - NEPAL,"DUAL ",SURYA DUAL,320,20,MEDIUM,Sales Deviation is OK,1693031499700-surya nepal pvt ltd - nepal-dual #3.png
202308,2,117158265,11302020009,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,
202308,2,117186046,11302020003,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,,
202308,2,116312313,11302020008,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,1693033865829-dhankuta agro tourism - fun valley pvt ltd nepal-dhankuteli mulko#3.png
202308,2,231732610191,23173020010,1691472506125,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,"APPY FIZZ\250ML\PBT\APPLE FLAVOUR ",29,250ML,PBT,Sales Deviation is OK,
202308,3,3110102044,31101030579,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,3,3110105419,31101030580,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,2,130911248,31101020091,1692258062571,134,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZ PBT 500ML,20,500ML,PBT,,1692258062571-pokhara natural food - beverage-np-glaze#3.png
202308,3,1220100019,12201030025,1691569788208,105,GORKHA LAHARI PVT.LTD.- NEPAL,ACTION LIGHTS,ACTION LIGHTS,115,20NOS,HL,,1691569788208-gorkha lahari pvt-ltd-- nepal-action lights#3.png
202308,3,3110104258,31101030546,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,2,125080524,21301020034,1691737659365,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI\600\ML,80,600ML,PET,New SKU,1691737659365-singapore beverage-nepal-lemonzaaaaa nimbu pani#3.png
202308,2,122330419,12303020004,1691658208686,134,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL-PET 500ML,15,500ML,PET,Sales Deviation is OK,1691658208686-om pathibhara food - bev-np-oasis jal#3.png
202308,2,128827344,31101020050,1691645381753,134,CG FOODS- NEPAL,RIO KDS LUV,"RIO-ABC KDS LUV TPK 200ML ",40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png
202308,2,124775456,21301020033,1691646071450,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png
202308,2,130605665,52303020011,1691654171687,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/500ML/PBT/MANGO,80,"500ML ",PBT,,1691654171687-sitaz food - beverage industry-np-sitaz boost#3.png
202308,2,130605665,52303020011,1691654504868,134,LIFE FOOD & BEVERAGE-NEPAL,"REBOOST ",REBOOST/250ML/CAN/ENERGY DRINK,120,"250ML ",CAN,,1691654504868-life food - beverage-nepal-reboost #3.png
202308,2,129024634,22101020014,1691472506125,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,"APPY FIZZ\250ML\PBT\APPLE FLAVOUR ",40,250ML,PBT,,1691472506125-parle agro pvt ltd-india-appy fizz apple#3.png
202308,2,126901159,52202020008,1691383288403,134,"SETI BEVERAGE INDUSTRIES NEPAL ",SETI JAL,SETI JAL/DRINKING WATER/1000ML/PBT,25,"1000ML ",PBT,Sales Deviation is OK,1691383288403-seti beverage industries nepal -seti jal#3.png
