PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202402,2,324121510013,32412020020,1709108060924,134,"REAL DRINKING WATER INDUSTRY NEPAL ",ALPHA ZONE,ALPHA ZONE PET 1 LTR,25,1 LTR,PBT,,1709108060924-real drinking water industry nepal -alpha zone#3.png
202402,2,121212210068,12121020004,1708147619680,134,TRIVENI FOOD & BEVERAGE-NP,LEELI,LEELI LITCHI DRINK 135ML,20,135ML,PBT,,1708147619680-triveni food - beverage-np-leeli#3.png
202402,2,516753710207,51675020002,1708747968927,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE/1500ML/PBT/250ML FANTA FREE,190,"1500ML ",PBT,,1708747968927-bottlers nepal - nepal-fanta orange#3.png
202402,2,527374310009,52737020001,1708677105048,134,"NAWAYUG PROCESSED DRINKING WATER INDUSTRIES NEPAL ",DOGADAKEDAR,DOGADAKEDAR/1000ML/PBT,25,"1000ML ",PBT,New Category,1708677105048-nawayug processed drinking water industries nepal -dogadakedar#3.png
202402,2,128959129,12201020016,1707464391585,134,MANAKAMANA FRUIT & BEVERAGE PVT LTD NEPAL,NIMBU FRESH,NIMBU FRESH CARBONATED PET 500ML,80,500ML,PET,,1707464391585-manakamana fruit - beverage pvt ltd nepal-nimbu fresh#3.png
202402,2,128877778,12201020015,1708780074556,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-SPRITE PET 2250 ML+PET 250ML SPRITE FREE,270,2250ML,PET,,1708780074556-bottlers nepal - nepal-sprite#3.png
202402,2,128877778,12201020015,1708684675065,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE PET 1500ML FREE PET 250ML,190,1500ML,PET,,1708684675065-bottlers nepal - nepal-fanta orange#3.png
202402,2,129371071,12201020006,1708684675065,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE PET 1500ML FREE PET 250ML,190,1500ML,PET,,
202402,2,111719660,12101020010,1708686547762,134,RADHA KRISHNA FOOD & BEVERAGE PVT.LTD. NEPAL,SARAS,SARAS PROCESSED DRINKING WATER  PBT 500ML,15,500 ML.,PBT,,1708686547762-radha krishna food - beverage pvt-ltd- nepal-saras#3.png
202402,2,117158265,11302020009,1707805740298,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO POMEGRANATE CAN 250ML,100,250ML,CAN,,1707805740298-maruti dairy product-nepal-gopala fresho#3.png
202402,2,112331058,21102020041,1708584765315,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,"FANTA/PBT/2250ML/FREE FANTA ORANGE 250ML/RS 270 ",270,2250ML,PBT,,
202402,2,111481610,21102020055,1708584765315,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,"FANTA/PBT/2250ML/FREE FANTA ORANGE 250ML/RS 270 ",270,2250ML,PBT,,1708584765315-bottlers nepal - nepal-fanta orange#3.png
202402,2,121835993,12303020026,1708509467053,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA PBT 2250ML FREE 250ML PBT COCA COLA,270,2250ML,PBT,,1708509467053-bottlers nepal - nepal-coca-cola#3.png
202402,2,117672861,51302020005,1708246846413,118,BOTTLERS NEPAL - NEPAL,"SPRITE ",SPRITE/2.25ML/PBT/BOTTLERS NEPAL LIMITED/PBT 250ML SPRITE FREE,270,2.25ML,PBT,,
202402,3,3110105415,31101030576,1707194355890,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25,13GM,PPH,,
202402,3,3110105394,31101030550,1707284235245,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png
202402,3,3110105351,31101030487,1707284235245,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png
202402,2,113111790,52204020012,1708326980979,134,AMAR DRINKING WATER & BEVRG-NP,AQUA AMAR,AQUA AMAR/20 LITR/PBT,70,20 LTR,PBT,New SKU,1708326980979-amar drinking water - bevrg-np-aqua amar#3.png
202402,2,126914775,31101020022,1708252020275,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE\1500ML\PBT\RS:190\BOTTLERS NEPAL,190,1500ML,PBT,,1708252020275-bottlers nepal - nepal-fanta orange#3.png
202402,2,128725214,52203020013,1708246846413,118,BOTTLERS NEPAL - NEPAL,"SPRITE ",SPRITE/2.25ML/PBT/BOTTLERS NEPAL LIMITED/PBT 250ML SPRITE FREE,270,2.25ML,PBT,,1708246846413-bottlers nepal - nepal-sprite #3.png
202402,2,128587427,52203020002,1708233659422,134,"ALINA WATER INDUSTRIES NEPAL ",AQUA AC,"AQUA AC/1000ML/PBT/RS25/ALINA WATER INDUSTRIES NEPAL ",25,"1000ML ",PBT,,1708233659422-alina water industries nepal -aqua ac#3.png
202402,2,111344715,21102020053,1708241427701,134,AQUA GODAWARI BEVERAGE-NP,AQUA POWER,AQUA POWER/JAR/19000ML/RS50,50,19000ML,JAR,,1708241427701-aqua godawari beverage-np-aqua power#3.png
202402,2,128879661,21401020024,1708236608421,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2250 ML/FREE 250 ML OF PET SPRITE,270,2250ML,PBT,,1708236608421-bottlers nepal - nepal-sprite#3.png
202402,2,128879661,21401020024,1708236443644,118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-FREE 250 ML PET BOTTLE FANTA,270,2250ML,PBT,,1708236443644-bottlers nepal - nepal-fanta orange#3.png
202402,3,3110102665,31101030277,1707194355890,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25,13GM,PPH,Any other reason,
202402,3,3110104604,31101030302,1707194355890,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25,13GM,PPH,,
202402,3,3110102993,31101030463,1707284235245,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png
202402,3,3110101356,31101030292,1707284235245,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,Any other reason,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png
202402,2,129022271,21401020020,1708067569241,134,MAA NASIKA BEVERAGE-NEPAL,MAA,MAA/JAR/20000ML/RS50,50,20000ML,JAR,,1708067569241-maa nasika beverage-nepal-maa#3.png
202402,2,130102897,21401020027,1708064811296,134,TRIVENI FOOD & BEVERAGE-NP,BLOON,BLOON/LITCHI DRINK/PBT/135ML/RS20,20,135 ML,PBT,,1708064811296-triveni food - beverage-np-bloon#3.png
