PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202501,2,130456210353,13045020020,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,,
202501,2,130456210243,13045020031,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,,1738041788347-p-s- beverage pvt-ltd- nepal-dalmia#3.png
202501,2,130456310211,13045020004,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,Any other reason,
202501,2,123145849,12303020019,1737358022952,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO BLACK CURRE,140,320ML,PBT,,1737358022952-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,123145849,12303020019,1737357252005,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO MANGO PBT 320ML,140,320ML,PBT,,1737357252005-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,123145849,12303020019,1737357801504,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO KIWI PBT 320ML,140,320ML,PBT,,1737357801504-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,112134224,12101020005,1737515415751,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,AMRAPALI KOOL COCO,AMRAPALI KOOL COCO STRAWBERRY,140,320 ML.,PET,,
202501,2,130283152,21202020026,1737783834072,134,P.K. GENERAL DRINK LP.-THAILAND,"BONKO PINEAPPLE ","BONKO\320ML\PBT\PINEAPPLE FLAVOUR ",145,320ML,PBT,Sales Deviation is OK,1737783834072-p-k- general drink lp--thailand-bonko pineapple #3.png
202501,2,130456210299,13045020018,1737515415751,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,AMRAPALI KOOL COCO,AMRAPALI KOOL COCO STRAWBERRY,140,320 ML.,PET,,1737515415751-himalayan bottlers pvt ltd-nepal-amrapali kool coco#3.png
202501,2,122167896,31101020073,1737351474123,118,MANAKAMANA FRUIT & BEVERAGE-NP,MINT LAMONADE,MINT LEMONADE PBT 250ML,50,250ML,PBT,,1737351474123-manakamana fruit - beverage-np-mint lamonade#3.png
202501,2,125080524,21301020034,1736665621725,134,SANGRILLA SPRING DRINK&BEVRG-NP,HIMALAYAN SANGRILLA,HIMALAYAN SANGRILLA\1000\ML,20,1000 ML,PET,New SKU,1736665621725-sangrilla spring drink-bevrg-np-himalayan sangrilla#3.png
