PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202407,2,133182833,31315020002,1722414371018,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-APPLE CAN 250ML,100,250ML,CAN,,1722414371018-maruti dairy product-nepal-gopala fresho#3.png
202407,3,1022123117584,22603030026,1722240072298,125,PUJA SURTI UDHYOG,ZI PACK BABLU,ZI-PACK BABLU/SUPER POWER/PPH/10GM/PUJA SURTI UDHYOG/RS 35,35,10GM,PPH,,1722240072298-puja surti udhyog-zi pack bablu#3.png
202407,2,516815410150,51681020007,1722042376521,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/250ML/PBT/MANGO,50,"250ML ",PBT,,1722042376521-sitaz food - beverage industry-np-sitaz boost#3.png
202407,2,516813510147,51681020008,1722043553954,134,"S&S WINE UDHYOG NEPAL ","TOPPER MANGO ",TOPPER MANGO/250ML/PBT/S&S WINE UDHYOG NEPAL,50,"250ML ",PBT,,1722043553954-s-s wine udhyog nepal -topper mango #3.png
202407,2,527364210132,52736020001,1720497505708,134,CG FOODS- NEPAL,RIO ALFONSO,"RIO/180ML/TPK/MANGO ALFONSO/ CG FOODS NEPAL ",25,"180ML ",TPK,,
202407,2,527363110085,52736020007,1720497505708,134,CG FOODS- NEPAL,RIO ALFONSO,"RIO/180ML/TPK/MANGO ALFONSO/ CG FOODS NEPAL ",25,"180ML ",TPK,,
202407,2,527374310006,52737020003,1720497505708,134,CG FOODS- NEPAL,RIO ALFONSO,"RIO/180ML/TPK/MANGO ALFONSO/ CG FOODS NEPAL ",25,"180ML ",TPK,,
202407,2,527363110109,52736020006,1721901052054,134,NEPAL M.D FOOD & BEVERAGE-NEPAL,"MD MANGO ",MD MANGO/160ML/PBT/NEPAL M.D FOOD & BEVERAGE,50,"160ML ",PBT,,1721901052054-nepal m-d food - beverage-nepal-md mango #3.png
202407,2,527363110109,52736020006,1720497505708,134,CG FOODS- NEPAL,RIO ALFONSO,"RIO/180ML/TPK/MANGO ALFONSO/ CG FOODS NEPAL ",25,"180ML ",TPK,,
202407,2,527363110160,52736020004,1720497505708,134,CG FOODS- NEPAL,RIO ALFONSO,"RIO/180ML/TPK/MANGO ALFONSO/ CG FOODS NEPAL ",25,"180ML ",TPK,,
