PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202406,2,335095510069,33509020014,1718035945718,134,RB COOLING WATER-NEPAL,AQUA SAINAMAINA,AQUA SAINAMAINA PROCESSED DRINKING WATER/PBT/1000ML/25/RB COOLING WATER-NEPAL,25,1000ML,PBT,,
202406,2,116313561,11301020007,1718865697711,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,270,2250ML,PET,,
202406,2,134565081,41305020011,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,112343410,41301020033,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,116639935,41301020008,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,116304492,11301020014,1718865155177,118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA-PET 500ML,90,500ML,PET,,1718865155177-m-d-bottlers inds-np-chauca cola#3.png
202406,2,116304492,11301020014,1718865697711,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,270,2250ML,PET,,1718865697711-varun beverage -nepal-pepsi#3.png
202406,2,116641254,41301020021,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,112266748,41301020023,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,117167384,41301020018,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,1719468769782-buddha grameen processed drinking water industry -processed drinking water #3.png
202406,2,112162713,41301020004,1719467228639,134,MAX TIGER,ENERGY DRINK," PRIZEFULL ",120,250 ML,"PET ",,1719467228639-max tiger-energy drink#3.png
202406,2,115070629,41301020003,1719468769782,134,"BUDDHA GRAMEEN PROCESSED DRINKING WATER INDUSTRY ","PROCESSED DRINKING WATER ","BG AQUA FRESH ",30,1000ML,"PET ",,
202406,2,335095710272,33509020011,1718035945718,134,RB COOLING WATER-NEPAL,AQUA SAINAMAINA,AQUA SAINAMAINA PROCESSED DRINKING WATER/PBT/1000ML/25/RB COOLING WATER-NEPAL,25,1000ML,PBT,,
202406,2,129544804,21202020012,1719397497208,118,MANAKAMANA FRUIT & BEVERAGE-NP,CLASS SODA,"CLASS SODA\250ML\PBT\CARBONATED ",50,250ML,PBT,,1719397497208-manakamana fruit - beverage-np-class soda#3.png
202406,2,527373110071,52737020004,1719212210216,134,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST/MANGO/500ML/PBT,90,"500ML ",PBT,,
202406,2,527374310006,52737020003,1719212210216,134,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST/MANGO/500ML/PBT,90,"500ML ",PBT,,1719212210216-jagdamba foods pvt ltd-nepal-chabaa boost#3.png
202406,2,130456310204,13045020026,1719364004125,134,LIFE FOOD & BEVERAGE-NEPAL,ARNA,ARNA ENERGY DRINK CAN 250 ML. RS.99.00,99,250 ML.,CAN,,1719364004125-life food - beverage-nepal-arna#3.png
202406,2,117186046,11302020003,1717577240977,134,KWALITY THAI FOODS PVT LTD-NPL,123 DITTO,123 DITTO-LYCHEE-LITCHI PET 150ML,20,150ML,PET,,
202406,2,132920729,31303020012,1719302855337,134,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST-LYCHEE PET 250ML,50,250ML,PBT,,1719302855337-jagdamba foods pvt ltd-nepal-chabaa boost#3.png
202406,2,132704136,31303020018,1719308783276,134,"J.B.S. INDUSTRIES PVT LTD-NEPAL ",SAGARMATHA,SAGARMATHA POMEGRANATE CAN 240ML,100,240ML,CAN,,1719308783276-j-b-s- industries pvt ltd-nepal -sagarmatha#3.png
202406,2,132704136,31303020018,1719308860333,134,"J.B.S. INDUSTRIES PVT LTD-NEPAL ",SAGARMATHA,SAGARMATHA MIXED FRUITS CAN 240 ML,90,240ML,CAN,,1719308860333-j-b-s- industries pvt ltd-nepal -sagarmatha#3.png
202406,2,132704136,31303020018,1719308710909,134,"J.B.S. INDUSTRIES PVT LTD-NEPAL ",SAGARMATHA,SAGARMATHA PINEAPPLE CAN 240ML,90,240ML,CAN,,1719308710909-j-b-s- industries pvt ltd-nepal -sagarmatha#3.png
202406,2,132861574,31303020017,1718606389708,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST-ORANGE TPK 180ML,25,80ML,TPK,,1718606389708-dabur nepal ltd--nepal-real burrst#3.png
202406,2,132818405,31303020020,1718606389708,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST-ORANGE TPK 180ML,25,80ML,TPK,,1718606389708-dabur nepal ltd--nepal-real burrst#3.png
202406,2,117666700,51302020003,1719131597617,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/1000ML/PBT/ANAR APPLE/DABUR NEPAL,170,"1000ML ",PBT,,1719131597617-dabur nepal ltd--nepal-real fruit power#3.png
202406,2,117672861,51302020005,1719128611652,134,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST/PINK GUAVA/1000ML/PBT/JAGDAMBA FOODS PVT.LTD,170,"1000ML ",PBT,,1719128611652-jagdamba foods pvt ltd-nepal-chabaa boost#3.png
202406,2,132576439,22304020006,1719033410255,134,SUPER STAR LEMON SODA WATER UDYOG NEPAL,AQUA SHAKTI,"AQUA SHAKTI\1000ML\PBT\MINERAL WATER ",20,1000ML,PBT,Sales Deviation is OK,1719033410255-super star lemon soda water udyog nepal-aqua shakti#3.png
202406,2,132870586,22304020011,1718973248038,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,"MOUNTAIN DEW \1000ML\PBT\CARBONATED ",80,1000ML,PBT,Sales Deviation is OK,
202406,2,132790180,22304020009,1719024519634,134,AGRO THAI FOODS PVT LTD-NEPAL,"MAX TIGER ","MAX TIGER\500ML\CAN\ENERGY DRINK ",200,500ML,CAN,,1719024519634-agro thai foods pvt ltd-nepal-max tiger #3.png
202406,2,132576291,22304020003,1718973248038,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,"MOUNTAIN DEW \1000ML\PBT\CARBONATED ",80,1000ML,PBT,Sales Deviation is OK,
202406,2,132776190,22304020002,1719033410255,134,SUPER STAR LEMON SODA WATER UDYOG NEPAL,AQUA SHAKTI,"AQUA SHAKTI\1000ML\PBT\MINERAL WATER ",20,1000ML,PBT,Sales Deviation is OK,
202406,2,128702441,12201020028,1718966135356,134,LIFE FOOD & BEVERAGE-NEPAL,ARNA,ARNA ENERGY DRINK CAN 250ML,99,250ML,CAN,,1718966135356-life food - beverage-nepal-arna#3.png
202406,2,231731310207,23173020011,1718973248038,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,"MOUNTAIN DEW \1000ML\PBT\CARBONATED ",80,1000ML,PBT,,1718973248038-pepsi cola cmpny imprtd-imprtd-mountain dew#3.png
202406,2,128876850,12201020011,1717577240977,134,KWALITY THAI FOODS PVT LTD-NPL,123 DITTO,123 DITTO-LYCHEE-LITCHI PET 150ML,20,150ML,PET,,1717577240977-kwality thai foods pvt ltd-npl-123 ditto#3.png
202406,2,111481610,21102020055,1718868702604,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN AGRO/MANIA/GUAVA DRINK/200ML/RS25/HYGENS PACKS NEPAL PVT. LTD,25,200ML,TPK,,1718868702604-hygen packs nepal pvt ltd-nepal-hygen mania#3.png
202406,2,111949706,21102020058,1718862470589,134,KWALITY THAI FOODS PVT LTD-NPL,123 DITTO,123 DITTO-LITCHI,20,150ML,PBT,,1718862470589-kwality thai foods pvt ltd-npl-123 ditto#3.png
202406,2,126803333,22202020031,1718780401525,134,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,"JIMMY JIMMY\300ML\PBT\STRAWBERRY FLAVOUR ",120,300ML,PBT,,1718780401525-shambhavi food - beverages-nepal-jimmy jimmy#3.png
