PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202403,2,134729806,41305020009,1711713937293,118,"AAROGYA HARBAL UDHOG ","FRUIT JUICE ","AAROGY ",50,280ML,PET,,1711713937293-aarogya harbal udhog -fruit juice #3.png
202403,2,134719013,41305020004,1711711815361,118,"MY NEPAL MY PRIDE ","NEPAL SOFT DRINK ","MORNING DEW ",40,250ML,PET,,1711711815361-my nepal my pride -nepal soft drink #3.png
202403,2,134719013,41305020004,1711712457538,134,"PROCESSED DRINKING WATER ","R.R PROCESSED DRINKING WATER ",R . R.,30,1000ML,PET,,1711712457538-processed drinking water -r-r processed drinking water #3.png
202403,2,134463680,41305020013,1711712457538,134,"PROCESSED DRINKING WATER ","R.R PROCESSED DRINKING WATER ",R . R.,30,1000ML,PET,,
202403,2,516813610182,51681020001,1711611020248,134,KWALITY THAI FOODS PVT LTD-NPL,EX-CESS,EX-CESS/200ML/TPK/MANGO PAPAYA,25,200ML,TPK,Any other reason,
202403,2,516813610176,51681020002,1711611020248,134,KWALITY THAI FOODS PVT LTD-NPL,EX-CESS,EX-CESS/200ML/TPK/MANGO PAPAYA,25,200ML,TPK,,1711611020248-kwality thai foods pvt ltd-npl-ex-cess#3.png
202403,2,516813510147,51681020008,1711611020248,134,KWALITY THAI FOODS PVT LTD-NPL,EX-CESS,EX-CESS/200ML/TPK/MANGO PAPAYA,25,200ML,TPK,,
202403,2,324121510021,32412020008,1711524716331,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 250 ML+150ML,50,250ML,PET,,1711524716331-varun beverage -nepal-pepsi#3.png
202403,2,324121510021,32412020008,1711615320033,118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 250 ML +150ML,50,250ML,PET,,1711615320033-varun beverage -nepal-7 up#3.png
202403,2,116304492,11301020014,1710839492866,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA PET 250ML+150ML FREE,50,250ML +150ML,PET,,1710839492866-varun beverage -nepal-pepsi#3.png
202403,2,116304492,11301020014,1710839639670,118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE PET 250ML+150ML FREE,50,250ML +150ML,PET,,1710839639670-varun beverage -nepal-mirinda orange#3.png
202403,2,112162713,41301020004,1711603379923,134,"PROCESSED DRINKING WATER ","TILA KARNALI PANI PRASHODHAN UDHOG ",TILA,30,1000ML,PET,,
202403,2,117185718,41301020017,1711603379923,134,"PROCESSED DRINKING WATER ","TILA KARNALI PANI PRASHODHAN UDHOG ",TILA,30,1000ML,PET,,1711603379923-processed drinking water -tila karnali pani prashodhan udhog #3.png
202403,2,116441816,41301020028,1711540152282,134,DABUR NEPAL LTD.-NEPAL,"LITE AND REFRESHING ",REAL BURRST MANGO,25,180ML,,,1711540152282-dabur nepal ltd--nepal-lite and refreshing #3.png
202403,2,112273347,41301020015,1711527893952,118,VARUN BEVERAGE -NEPAL,BEVERAGES WITH REAL MANGO,"SLICE ",90,500ML,"500ML ",,1711527893952-varun beverage -nepal-beverages with real mango#3.png
202403,2,116648462,41301020006,1711526804902,134,"RR DRINKING WATER ","PROCESSED WATER ",RR AQUQ,30,,,,1711526804902-rr drinking water -processed water #3.png
202403,2,128850829,21202020024,1711529742272,134,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,"MOGU MOGU\320ML\PBT\MELON FLAVOUR ",145,320ML,PBT,,1711529742272-sappe public company ltd-thailand-mogu mogu#3.png
202403,2,130528603,21202020027,1711534063061,118,VARUN BEVERAGE -NEPAL,PEPSI,"PEPSI \250ML+150ML\PBT\CARBONATED ",50,250ML+150ML,PBT,,1711534063061-varun beverage -nepal-pepsi#3.png
202403,2,130528603,21202020027,1711601746770,118,VARUN BEVERAGE -NEPAL,7UP,"7 UP\250ML+150ML\PBT\CARBONATED ",20,250ML+150ML FREE,PBT,Sales Deviation is OK,1711601746770-varun beverage -nepal-7up#3.png
202403,2,129058210,12201020023,1710839492866,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA PET 250ML+150ML FREE,50,250ML +150ML,PET,,
202403,2,324121510088,32412020004,1711524716331,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 250 ML+150ML,50,250ML,PET,,1711524716331-varun beverage -nepal-pepsi#3.png
