PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202506,2,324251110025,32425020007,1746600346431,118,DABUR NEPAL LTD.-NEPAL,"BURRST ",BURRST NEEMBU FIZZ\250ML\PET\RS:50\DABUR NEPAL PVT.LTD NEPAL,50,250ML,PET,,
202506,3,116116196,21201030011,1748761832067,105,KT&G-KOREA,ESSE BLUE,ESSE BLUE/KFS/20NOS/MRP340,340,20 NOS,HL,,1748761832067-kt-g-korea-esse blue#3.png
202505,2,212581910163,21258020008,1747197323166,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON/2250/ML,250,2250 ML,PET,New SKU,
202505,2,212581910093,21258020010,1747197323166,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON/2250/ML,250,2250 ML,PET,New SKU,
202505,2,212581910083,21258020013,1747197323166,118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,FANTA LEMON/2250/ML,250,2250 ML,PET,New SKU,
202505,2,128877778,12201020015,1748590805127,134,TRIVENI FOOD & BEVERAGE-NP,SHOCK,SHOCK ENERGY DRINK CLASSIC CAN 330ML,130,330ML,CAN,,1748590805127-triveni food - beverage-np-shock#3.png
202505,2,516813310180,51681020003,1748421024640,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH/1000ML/PBT/MIXED FRUIT,170,"1000ML ",PBT,,1748421024640-raybot spring-s mineral water-nepal-raybot refresh#3.png
202505,2,516813310180,51681020003,1748249305169,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/2000ML/PBT/SAVE RS 50,270,"2000ML ",PBT,,
202505,2,516813310126,51681020011,1748246455004,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/170ML/TPK/MANGO,25,"170ML ",TPK,,
202505,2,516753710207,51675020002,1748415223170,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,"MAINTAIN DEW/2,25LTR/PBT/LEMON ",260,2.25LTR,PBT,,1748415223170-shambhavi food - beverages-nepal-maintain dew#3.png
202505,2,516813610245,51681020009,1748246455004,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/170ML/TPK/MANGO,25,"170ML ",TPK,,
202505,2,516865410033,51686020005,1748246455004,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/170ML/TPK/MANGO,25,"170ML ",TPK,,
202505,2,516813610176,51681020002,1748246455004,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/170ML/TPK/MANGO,25,"170ML ",TPK,,
202505,2,516813610183,51681020004,1748246455004,134,DABUR NEPAL LTD.-NEPAL,REAL BURRST,REAL BURRST/170ML/TPK/MANGO,25,"170ML ",TPK,,
