itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
46118,WINSTON PURPLE MINT-WINSTON-FRESH-HL 20'S-KS REGULAR-MID-PRICE,105,CIGARETTE,JT INTERNATIONAL - SA,WINSTON PURPLE MINT,HL,FRESH,,20,NO,20,201707
90110250,MARLBORO GOLD-MARLBORO-LIGHT-HL 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,HL,LIGHT,,20,NO,20,201505
90110225,SAHASI PREMIUM FILTER KINGS-SAHASHI-FULL FLAVOUR-HL 20'S-NON-FILTER-VALUE,105,CIGARETTE,CHAUDHARY GROUP - NEPAL,SAHASI PREMIUM FILTER KINGS,HL,FULL FLAVOUR,,20,NO,20,201102
90110167,GAURAV-GAURAV-FULL FLAVOUR-SC 20'S-KS REGULAR-VALUE,105,CIGARETTE,CHAUDHARY GROUP - NEPAL,GAURAV,SC,FULL FLAVOUR,,20,NO,20,0
90110215,BROWN CLOVE-BROWN-KRETEK-HL 20'S-LONG REGULAR-MID-PRICE,105,CIGARETTE,GORKHA LAHARI PVT.LTD.- NEPAL,BROWN CLOVE,HL,KRETEK,,20,NO,20,200801
90110256,CAPTAIN FILTER KINGS-CAPTAIN-FULL FLAVOUR-HL 20'S-LONG REGULAR-MID-PRICE,105,CIGARETTE,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN FILTER KINGS,HL,FULL FLAVOUR,,20,NO,20,201612
90110119,NEPAL GOLD FLAKE-NEPAL GOLD FLAKE-FULL FLAVOUR-SC 20'S-LONG SS-VALUE,105,CIGARETTE,GORKHA LAHARI PVT.LTD.- NEPAL,NEPAL GOLD FLAKE,SC,FULL FLAVOUR,,20,NO,20,0
90110241,MAYALU-MAYALU-FULL FLAVOUR-HL 20'S-LONG SS-VALUE,105,CIGARETTE,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,HL,FULL FLAVOUR,,20,NO,20,201305
90118222,LAILA-LAILA-FULL FLAVOUR-HL 20'S-LONG SS-VALUE,105,CIGARETTE,GORKHA LAHARI PVT.LTD.- NEPAL,LAILA,HL,FULL FLAVOUR,,20,NO,20,0
90110197,SHIKHAR SELECT-SHIKHAR-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SHIKHAR SELECT,HL,FULL FLAVOUR,,20,NO,20,0
47592,SHIKHAR ICE RUSH-SHIKHAR-FRESH-HL 20'S-KS REGULAR-MID-PRICE,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SHIKHAR ICE RUSH,HL,FRESH,,20,NO,20,201711
90110239,SURYA LEGEND-SURYA-FULL FLAVOUR-SB 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SURYA LEGEND,SB,FULL FLAVOUR,,20,NO,20,201212
90110213,SURYA 24 CARAT-SURYA-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT,HL,FULL FLAVOUR,,20,NO,20,200711
48588,SURYA 24 CARAT BLUE-SURYA-LIGHT-HL 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT BLUE,HL,LIGHT,,20,NO,20,201803
48587,SURYA 24 CARAT ARCTIC BURST-SURYA-FRESH-HL 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT ARCTIC BURST,HL,FRESH,,20,NO,20,201803
90110116,CHAUTARI-CHAUTARI-FULL FLAVOUR-SC 20'S-NON-FILTER-VALUE,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,CHAUTARI,SC,FULL FLAVOUR,,20,NO,20,0
90110246,CHAUTARI FILTER-CHAUTARI-FULL FLAVOUR-SC 20'S-NON-FILTER-VALUE,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,CHAUTARI FILTER,SC,FULL FLAVOUR,,20,NO,20,201502
90110207,BIJULI FILTER-BIJULI-FULL FLAVOUR-HL 20'S-NON-FILTER-VALUE,105,CIGARETTE,SURYA NEPAL PVT LTD - NEPAL,BIJULI FILTER,HL,FULL FLAVOUR,,20,NO,20,200702
49287,GUDANG GARAM SIGNATURE MENTHOL MILD-GUDANG GARAM-KRETEK-HL 20'S-LONG REGULAR-PREMIUM,105,CIGARETTE,AMARAN OLEH KERAJAAN - MALAYSIA,GUDANG GARAM SIGNATURE MENTHOL MILD,HL,KRETEK,,20,NO,20,201806
90110149,BENSON & HEDGES BLUE GOLD-BENSON & HEDGES-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,105,CIGARETTE,TRANSIT,BENSON & HEDGES BLUE GOLD,HL,FULL FLAVOUR,,20,NO,20,0
