t_itemcode,m_itemcode(s)
1723442321918,
1723020196552,52155 || 52146 || 52152 || 52158 || 52153 || 52154 || 52230 || 52304 || 52334 || 52305 || 52333 || 52249 || 52565 || 52571 || 52564 || 52570 || 53266 || 53708 || 99762594 || 99762614 || 99763606 || 99764017 || 99764022 || 99764023 || 99765056 || 99765061 || 99765101 || 99765102 || 99765103 || 99765135 || 99765190 || 99765259 || 99765281 || 99765325 || 99765346
1723095608992,
1723188960691,
1723095608992,
1724209699843,
1723618908511,
1723706474727,99765285
1723787881636,
1723617086813,
1723616931767,
1723441748354,
1723618908511,
1724570119406,
1724570119406,
1724481340615,
1724405845394,20110294 || 99765354
1724415621064,
1724415621064,
1724405845394,20110294 || 99765354
1724425662198,20110363 || 99765355
1724419100631,
1724394582105,
1724405845394,20110294 || 99765354
1724405845394,20110294 || 99765354
1724405845394,20110294 || 99765354
1724415621064,
1723719714577,
1723719546228,
1723095608992,
1723095608992,
1723706474727,99765285
1723095608992,
1724389241691,
1723442321918,
1723442321918,
1724652821507,
1723442321918,
