itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20110008,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 250 ML,RGB,250.000 ML, ,COLA,,250.0,ML,0,0,0.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110105,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1500 ML,PET,1500.000 ML, ,COLA,,1500.0,ML,0,0,200006.0,1500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110106,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,CAN 330 ML,CAN,330.000 ML, ,COLA,,330.0,ML,0,0,200006.0,330.0,0.0,,,N,INACTIVE,INACTIVE FROM MARCH 2024,4,2,,,202403.0
20110199,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,200205.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110266,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2250 ML,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,200406.0,2250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110267,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA VANILLA,VANILLA PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,200406.0,500.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20110294,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2000 ML,PET,2000.000 ML, ,COLA,,2000.0,ML,0,0,200505.0,2000.0,0.0,,,Y,ACTIVE,,0,2,,,
20150011,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML, ,COLA,,1500.0,ML,0,0,200710.0,1500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20121858,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 300 ML,PET,300.000 ML, ,COLA,,300.0,ML,0,0,201311.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20123342,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1000 ML,PET,1000.000 ML, ,COLA,,1000.0,ML,0,0,201403.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20126047,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 750 ML,PET,750.000 ML, ,COLA,,750.0,ML,0,0,201607.0,750.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20162467,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2250 ML+125ML MAAZA MANGO FREE,PET,2250.000 ML, ,COLA,,2250.0,ML,0,0,201702.0,2250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
52789,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 250 ML,PET,250.000 ML, ,COLA,,250.0,ML,0,0,201907.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
99762453,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 175 ML,RGB,175.000 ML, ,COLA,,175.0,ML,0,0,202108.0,175.0,25.0,,,Y,ACTIVE,,0,2,,,
20110004,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 1000 ML,RGB,1000.000 ML, ,COLA,,1000.0,ML,0,0,0.0,1000.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110130,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 175 ML,RGB,175.000 ML, ,COLA,,175.0,ML,0,0,200101.0,175.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
20110255,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 200 ML,RGB,200.000 ML, ,COLA,,200.0,ML,0,0,200309.0,200.0,0.0,,,N,INACTIVE,REMOVE FROM BRANDMASTER,2,2,,,
99763299,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA ZERO SUGAR,PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,202203.0,500.0,70.0,,,Y,ACTIVE,,0,2,,,
99763901,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA ZERO SUGAR,PET 250 ML,PET,250.000 ML, ,COLA,,250.0,ML,0,0,202207.0,250.0,50.0,,,Y,ACTIVE,,0,2,,,
