itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20110185,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,200111.0,1500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110201,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 500 ML,PET,500.000 ML, ,LEMON,,500.0,ML,0,0,200211.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110363,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2000 ML,PET,2000.000 ML, ,LEMON,,2000.0,ML,0,0,200703.0,2000.0,0.0,,,Y,ACTIVE,,0,2,,,
20150012,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,200710.0,1500.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20120418,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,201109.0,2250.0,0.0,,,Y,ACTIVE,,0,2,,,
20122636,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 300 ML,PET,300.000 ML, ,LEMON,,300.0,ML,0,0,201401.0,300.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20123344,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1000 ML,PET,1000.000 ML, ,LEMON,,1000.0,ML,0,0,201403.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20126048,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 750 ML,PET,750.000 ML, ,LEMON,,750.0,ML,0,0,201607.0,750.0,0.0,,,N,INACTIVE,INACTIVE FROM JANUARY 2023,4,2,,,202301.0
20162469,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML+125ML MAAZA MANGO FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,201702.0,2250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
52744,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 250 ML,PET,250.000 ML, ,LEMON,,250.0,ML,0,0,201907.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
99764966,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+2 PM AKABARE NOODLES 80 GM FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202305.0,2250.0,260.0,,,Y,ACTIVE,,0,2,,,
99765134,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 1500 ML+250 ML SPRITE FREE,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,202402.0,1500.0,190.0,,,Y,ACTIVE,,0,2,,,
99765140,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+250 ML SPRITE FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202403.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
99765355,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2000 ML+250 ML COCA-COLA FREE,PET,2000.000 ML, ,LEMON,,2000.0,ML,0,0,202503.0,2000.0,220.0,,,Y,ACTIVE,,0,2,,,
99765367,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 2250 ML+250 ML COKE FREE,PET,2250.000 ML, ,LEMON,,2250.0,ML,0,0,202503.0,2250.0,270.0,,,Y,ACTIVE,,0,2,,,
