itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20110008,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,RGB 250 ML,RGB,250.000 ML, ,COLA,,250.0,ML,0,0,0.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110009,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE RGB 250 ML,RGB,250.000 ML, ,ORANGE,,250.0,ML,0,0,0.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110072,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA LEMON,LEMON RGB 250 ML,RGB,250.000 ML, ,LEMON,,250.0,ML,0,0,0.0,250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20110073,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA,SODA RGB 250 ML,RGB,250.000 ML, ,SODA,,250.0,ML,0,0,0.0,250.0,0.0,,,N,INACTIVE,BLOCK THIS CODE AS PRODUCT IS NOT AVAILABLE IN THE MARKET,2,2,,,
20110010,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,RGB 250 ML,RGB,250.000 ML, ,LEMON,,250.0,ML,0,0,0.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110105,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 1500 ML,PET,1500.000 ML, ,COLA,,1500.0,ML,0,0,200006.0,1500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110106,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,CAN 330 ML,CAN,330.000 ML, ,COLA,,330.0,ML,0,0,200006.0,330.0,0.0,,,N,INACTIVE,INACTIVE FROM MARCH 2024,4,2,,,202403.0
20110138,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 1500 ML,PET,1500.000 ML, ,ORANGE,,1500.0,ML,0,0,200109.0,1500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110185,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,200111.0,1500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110199,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 500 ML,PET,500.000 ML, ,COLA,,500.0,ML,0,0,200205.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
20110200,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,FANTA,FANTA ORANGE,ORANGE PET 500 ML,PET,500.000 ML, ,ORANGE,,500.0,ML,0,0,200205.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
40110212,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY,PET 1000 ML,PET,1000.000 ML, ,,,1000.0,ML,0,0,200207.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
20110201,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 500 ML,PET,500.000 ML, ,LEMON,,500.0,ML,0,0,200211.0,500.0,0.0,,,Y,ACTIVE,,0,2,,,
